993293,1,1,Container Ship
673687,1,1,Container Ship
1095869,1,1,Container Ship
1495125,1,1,Container Ship
2268178,1,1,Container Ship
1867264,1,1,Container Ship
32768,1,1,Container Ship
2179716,1,1,Container Ship
771638,1,1,Container Ship
896666,1,1,Container Ship
1218558,1,1,Container Ship
1713913,1,1,Container Ship
1948357,1,1,Container Ship
186348,1,1,Container Ship
1498883,1,1,Container Ship
955133,1,1,Container Ship
649454,1,1,Container Ship
788107,1,1,Container Ship
743772,1,1,Container Ship
1135352,1,1,Container Ship
2265044,1,1,Container Ship
936729,1,1,Container Ship
601134,1,1,Container Ship
1998998,1,1,Container Ship
683392,1,1,Container Ship
2086131,1,1,Container Ship
460830,1,1,Container Ship
426365,1,1,Container Ship
1119542,1,1,Container Ship
1642053,1,1,Container Ship
279832,1,1,Container Ship
1295155,1,1,Container Ship
1598286,1,1,Container Ship
657908,1,1,Container Ship
1506602,1,1,Container Ship
2328892,1,1,Container Ship
1335266,1,1,Container Ship
947655,1,1,Container Ship
400993,1,1,Container Ship
1225872,1,1,Container Ship
2093880,1,1,Container Ship
1498109,1,1,Container Ship
1960716,1,1,Container Ship
2156550,1,1,Container Ship
1961015,1,1,Container Ship
1143231,1,1,Container Ship
1960780,1,1,Container Ship
1170066,1,1,Container Ship
1886062,1,1,Container Ship
692441,1,1,Container Ship
1866967,1,1,Container Ship
900607,1,1,Container Ship
266538,1,1,Container Ship
1155555,1,1,Container Ship
1253256,1,1,Container Ship
1816829,1,1,Container Ship
2347095,1,1,Container Ship
2079772,1,1,Container Ship
1817289,1,1,Container Ship
2343469,1,1,Container Ship
643476,1,1,Container Ship
1367890,1,1,Container Ship
1770554,1,1,Container Ship
1664376,1,1,Container Ship
1094024,1,1,Container Ship
1494054,1,1,Container Ship
1603638,1,1,Container Ship
2090311,1,1,Container Ship
464315,1,1,Container Ship
130819,1,1,Container Ship
1761904,1,1,Container Ship
781711,1,1,Container Ship
1808951,1,1,Container Ship
483541,1,1,Container Ship
933354,1,1,Container Ship
1519892,1,1,Container Ship
2010564,1,1,Container Ship
807076,1,1,Container Ship
426898,1,1,Container Ship
1526808,1,1,Container Ship
2255551,1,1,Container Ship
1798891,1,1,Container Ship
2371173,1,1,Container Ship
1367651,1,1,Container Ship
2127230,1,1,Container Ship
511428,1,1,Container Ship
1484230,1,1,Container Ship
1820183,1,1,Container Ship
2007952,1,1,Container Ship
42003,1,1,Container Ship
2363424,1,1,Container Ship
1782588,1,1,Container Ship
639934,1,1,Container Ship
1555180,1,1,Container Ship
1263746,1,1,Container Ship
821407,1,1,Container Ship
1708772,1,1,Container Ship
2288482,1,1,Container Ship
2168875,1,1,Container Ship
189176,1,1,Container Ship
246604,1,1,Container Ship
693826,1,1,Container Ship
1756964,1,1,Container Ship
1189000,1,1,Container Ship
2176468,1,1,Container Ship
2057612,1,1,Container Ship
869041,1,1,Container Ship
1238580,1,1,Container Ship
327698,1,1,Container Ship
612694,1,1,Container Ship
671856,1,1,Container Ship
1404893,1,1,Container Ship
1147140,1,1,Container Ship
866028,1,1,Container Ship
1087175,1,1,Container Ship
1541662,1,1,Container Ship
2174180,1,1,Container Ship
58807,1,1,Container Ship
1534667,1,1,Container Ship
452433,1,1,Container Ship
302863,1,1,Container Ship
175839,1,1,Container Ship
1403558,1,1,Container Ship
569824,1,1,Container Ship
1220948,1,1,Container Ship
525878,1,1,Container Ship
1086317,1,1,Container Ship
230,1,1,Container Ship
1689343,1,1,Container Ship
706218,1,1,Container Ship
1632838,1,1,Container Ship
698627,1,1,Container Ship
619475,1,1,Container Ship
1648355,1,1,Container Ship
1193899,1,1,Container Ship
427375,1,1,Container Ship
1270357,1,1,Container Ship
620706,1,1,Container Ship
1094981,1,1,Container Ship
2337900,1,1,Container Ship
747401,1,1,Container Ship
1726815,1,1,Container Ship
1951940,1,1,Container Ship
1651949,1,1,Container Ship
2355399,1,1,Container Ship
1721584,1,1,Container Ship
2231530,1,1,Container Ship
103531,1,1,Container Ship
2328509,1,1,Container Ship
535414,1,1,Container Ship
439178,1,1,Container Ship
887359,1,1,Container Ship
2338692,1,1,Container Ship
2354250,1,1,Container Ship
479913,1,1,Container Ship
2083830,1,1,Container Ship
1141459,1,1,Container Ship
422506,1,1,Container Ship
839198,1,1,Container Ship
869909,1,1,Container Ship
1407529,1,1,Container Ship
1481222,1,1,Container Ship
898645,1,1,Container Ship
1115982,1,1,Container Ship
83840,1,1,Container Ship
1848298,1,1,Container Ship
1743056,1,1,Container Ship
1051671,1,1,Container Ship
1210566,1,1,Container Ship
1813515,1,1,Container Ship
